Circassian,English,Dutch,Türkçe,العربية,עברית
еджэн,to read,lezen,okumak,قراءة,לקרוא
гущы1эн,to speak,praten,konuşmak,تحدث,לדבר
куон,to yell,schreewen,bağırmak,صيح,לצעוק
тхэн,to write,schrijven,yazmak,كتابة,לכתוב
орэдыIОН,to sing,zingen,şarkı söylemek,الغناء,לשיר
сурэтэу,to draw,tekenen,çizmek,رسم,לצייר
дэIон,to listen,luisteren,dinlemek,الاستماع,להקשיב
Iун,to hear,horen,duymak,سماع,לשמוע
егъэджэн,to teach,les geven,öğretmek,تعليم,ללמד
зэгъэшIэн,to learn,leren,öğrenmek,تعلم,ללמוד
дэкIоен,to climb,klimmen,tırmanmak,تسلق,לטפס
упчIэн,to question,vragen,sormak,سؤال,לשאול
джэуап етын,answer,antwoorden,cevap vermek,إجابة,לענות
