Circassian,Dutch,English,العربية,עברית,Türkçe
пхъэнт1эк1у,stoel,chair,كرسي,כיסא,koltuk
1анэ,tafel,table,طاولة,שולחן,masa
п1э,bed,bed,سرير,מיטה,yatak
дэгъэчъ,kast,drawer,خزانة,מגירה,çekmece
пчъэ,deur,door,باب,דלת,kapı
алырэгоъу,mat,carpet,سجادة,שטיח,halı
тахътэ,bed,bed,سرير,מיטה,yatak
унашъхьэ,dak,roof,سقف,גג,çatı
дэпк1ы,muur,wall,جدار,קיר,duvar
гъэпск1эп1э,badkamer,bathroom,حمام,חדר אמבטיה,banyo
пыты,keuken,kitchen,مطبخ,מטבח,mutfak
гъолъып1э,slaapkamer,bedroom,غرفة نوم,חדר שינה,yatak odası
щагу,tuin,yard,فناء,חצר,bahçe
остыгъэ,lamp,lamp,مصباح,נורה,lamba
гъалэ,verf,paint,طلاء,צבע,boya
шъхьангъупчъэ,raam,window,نافذة,חלון,pencere
джэныкъохьаку,kachel,fireplace,مدفأة,אח,kat kaloriferi
хьаку,oven,oven,فرن,תנור,fırın
хьак1эщ,woonkamer,living room,غرفة المعيشة,סלון,oturma odası
джэхашъо,vloer,floor,أرضية,רצפה,zemin
к1ашъо,plafond,ceiling,سقف,תקרה,tavan
тхылъ,boek,book,كتاب,ספר,kitap
тхылъыщэ,boekenkast,bookcase,كتابة,מדף ספרים,kitaplık
пэ1ухъон,gordijn,curtain,ستارة,וילון,perde
ш1уц1э,zwart,black,أسود,שחור,siyah
фыжьы,wit,white,أبيض,לבן,beyaz
хьаплъы,bruin,brown,بني,חום,kahverengi
шэплъы,roze,pink,وردي,ורוד,pembe
гъожьышэплъ,oranje,orange,برتقالي,כתום,portakal rengi
